frame.time_epoch	ip.src	ip.dst	ip.len	tcp.dstport	tcp.srcport	udp.dstport	udp.srcport	frame.protocols
1429224225.058931000	10.3.40.145	10.3.40.209	40	2869	60315			eth:ip:tcp
1429224225.059102000	10.3.40.145	10.3.40.209	294	2869	60315			eth:ip:tcp:http
1429224225.060140000	10.3.40.145	10.3.40.28	40	2869	60313			eth:ip:tcp
1429224225.061713000	10.3.40.217	10.3.40.145	264	60317	2869			eth:ip:tcp:http
1429224225.062538000	10.3.40.217	10.3.40.145	1500	60317	2869			eth:ip:tcp
1429224225.062541000	10.3.40.217	10.3.40.145	264	60316	2869			eth:ip:tcp:http
1429224225.062542000	10.3.40.217	10.3.40.145	1500	60316	2869			eth:ip:tcp
1429224225.062692000	10.3.40.145	10.3.40.217	40	2869	60317			eth:ip:tcp
1429224225.062971000	10.3.40.145	10.3.40.217	40	2869	60316			eth:ip:tcp
1429224225.064611000	10.3.40.28	10.3.40.145	40	60313	2869			eth:ip:tcp
1429224225.065472000	10.3.40.209	10.3.40.145	261	60315	2869			eth:ip:tcp:http
1429224225.065474000	10.3.40.209	10.3.40.145	1500	60315	2869			eth:ip:tcp
1429224225.065476000	10.3.40.209	10.3.40.145	1276	60315	2869			eth:ip:tcp
1429224225.065620000	10.3.40.145	10.3.40.209	52	2869	60315			eth:ip:tcp
1429224225.066927000	10.3.40.209	10.3.40.145	1500	60315	2869			eth:ip:tcp:http:xml
1429224225.067028000	10.3.40.145	10.3.40.209	40	2869	60315			eth:ip:tcp
1429224225.067240000	10.3.40.217	10.3.40.145	1500	60317	2869			eth:ip:tcp
1429224225.067908000	10.3.40.145	10.3.40.209	40	2869	60315			eth:ip:tcp
1429224225.068550000	10.3.40.217	10.3.40.145	1335	60317	2869			eth:ip:tcp
1429224225.068556000	10.3.40.217	10.3.40.145	1500	60317	2869			eth:ip:tcp:http:xml
1429224225.068558000	10.3.40.217	10.3.40.145	1337	60316	2869			eth:ip:tcp
1429224225.068560000	10.3.40.217	10.3.40.145	1500	60316	2869			eth:ip:tcp
1429224225.068562000	10.3.40.217	10.3.40.145	1500	60316	2869			eth:ip:tcp:http:xml
1429224225.068677000	10.3.40.145	10.3.40.217	52	2869	60317			eth:ip:tcp
1429224225.068974000	10.3.40.145	10.3.40.217	40	2869	60317			eth:ip:tcp
1429224225.069215000	10.3.40.145	10.3.40.217	52	2869	60316			eth:ip:tcp
1429224225.069365000	10.3.40.145	10.3.40.217	52	2869	60316			eth:ip:tcp
1429224225.069502000	10.3.40.145	10.3.40.217	40	2869	60316			eth:ip:tcp
1429224225.073828000	10.3.40.217	10.3.40.145	40	60317	2869			eth:ip:tcp
1429224225.073829000	10.3.40.217	10.3.40.145	40	60316	2869			eth:ip:tcp
1429224225.073830000	10.3.40.209	10.3.40.145	40	60315	2869			eth:ip:tcp
1429224225.073984000	10.3.40.145	10.3.40.217	40	2869	60317			eth:ip:tcp
1429224225.074180000	10.3.40.145	10.3.40.217	40	2869	60316			eth:ip:tcp
1429224225.076244000	10.3.40.145	10.3.40.217	40	2869	60317			eth:ip:tcp
1429224225.079195000	10.3.40.217	10.3.40.145	40	60317	2869			eth:ip:tcp
1429224225.083712000	10.3.40.145	10.3.40.217	40	2869	60316			eth:ip:tcp
1429224225.089543000	10.3.40.217	10.3.40.145	40	60316	2869			eth:ip:tcp
1429224225.156394000	10.3.40.122	10.3.40.145	52	60314	2869			eth:ip:tcp
1429224225.156580000	10.3.40.145	10.3.40.122	40	2869	60314			eth:ip:tcp
1429224225.156785000	10.3.40.145	10.3.40.122	294	2869	60314			eth:ip:tcp:http
1429224225.164874000	10.3.40.122	10.3.40.145	264	60314	2869			eth:ip:tcp:http
1429224225.175165000	10.3.40.122	10.3.40.145	1500	60314	2869			eth:ip:tcp
1429224225.175271000	10.3.40.145	10.3.40.122	40	2869	60314			eth:ip:tcp
1429224225.179066000	10.3.40.122	10.3.40.145	1500	60314	2869			eth:ip:tcp
1429224225.179763000	10.3.40.122	10.3.40.145	1339	60314	2869			eth:ip:tcp
1429224225.179875000	10.3.40.145	10.3.40.122	52	2869	60314			eth:ip:tcp
1429224225.180263000	10.3.40.122	10.3.40.145	1500	60314	2869			eth:ip:tcp:http:xml
1429224225.180372000	10.3.40.145	10.3.40.122	40	2869	60314			eth:ip:tcp
1429224225.180429000	10.3.40.145	10.3.40.122	40	2869	60314			eth:ip:tcp
1429224225.183386000	10.3.40.122	10.3.40.145	40	60314	2869			eth:ip:tcp
1429224225.183497000	10.3.40.145	10.3.40.122	40	2869	60314			eth:ip:tcp
1429224225.184793000	10.3.40.122	10.3.40.145	40	60314	2869			eth:ip:tcp
1429224225.200949000						5355	61361	eth:ipv6:udp:dns
1429224225.201015000						5355	50820	eth:ipv6:udp:dns
1429224225.201309000	10.3.40.145	224.0.0.252	51			5355	61361	eth:ip:udp:dns
1429224225.201484000	10.3.40.145	224.0.0.252	51			5355	50820	eth:ip:udp:dns
1429224225.288890000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224225.490578000	10.3.40.28	10.3.40.145	418			51219	1900	eth:ip:udp:http
